Serial Code Book Title                                        Genre               
GOLDM24S120 The Windup Girl                                   Science Fiction     
GOLDM24F121 A Court of Thorns and Roses                       Fantasy             
GOLDM24F122 A Game of Thrones                                 Fantasy             
GOLDM24F123 Circe                                             Fantasy             
GOLDM24F124 Eragon                                            Fantasy             
GOLDM24F125 Good Omens                                        Fantasy             
GOLDM24F126 Harry Potter and the Sorcerer's Stone             Fantasy             
GOLDM24F127 Jonathan Strange & Mr Norrell                     Fantasy             
GOLDM24F128 Mistborn                                          Fantasy             
GOLDM24F129 The Belgariad                                     Fantasy             
GOLDM24F130 The Black Prism                                   Fantasy             
GOLDM24F131 The Blade Itself                                  Fantasy             
GOLDM24F132 The Broken Earth                                  Fantasy             
GOLDM24F133 The Dark Tower                                    Fantasy             
GOLDM24F134 The Dragonbone Chair                              Fantasy             
GOLDM24F135 The Farseer Trilogy                               Fantasy             
GOLDM24F136 The Fifth Season                                  Fantasy             
GOLDM24F137 The Golden Compass                                Fantasy             
GOLDM24F138 The Grace of Kings                                Fantasy             
GOLDM24F139 The Inheritance Trilogy                           Fantasy             
GOLDM24F140 The Last Wish                                     Fantasy             
GOLDM24F141 The Lies of Locke Lamora                          Fantasy             
GOLDM24F142 The Lightbringer                                  Fantasy             
GOLDM24F143 The Magicians                                     Fantasy             
GOLDM24F144 The Malazan Book of the Fallen                    Fantasy             
GOLDM24F145 The Name of the Wind                              Fantasy             
GOLDM24F146 The Once and Future King                          Fantasy             
GOLDM24F147 The Poppy War                                     Fantasy             
GOLDM24F148 The Priory of the Orange Tree                     Fantasy             
GOLDM24F149 The Rage of Dragons                               Fantasy             
GOLDM24F150 The Shadow of the Wind                            Fantasy             
GOLDM24F151 The Silmarillion                                  Fantasy             
GOLDM24F152 The Song of Achilles                              Fantasy             
GOLDM24F153 The Stormcaller                                   Fantasy             
GOLDM24F154 The Stormlight Archive                            Fantasy             
GOLDM24F155 The Sword of Shannara                             Fantasy             
GOLDM24F156 The Warded Man                                    Fantasy             
GOLDM24F157 The Way of Kings                                  Fantasy             
GOLDM24F158 The Way of Shadows                                Fantasy             
GOLDM24F159 The Wheel of Time                                 Fantasy             
GOLDM24F160 The Witcher                                       Fantasy             
GOLDM24H161 American Psycho                                   Horror              
GOLDM24H162 Bird Box                                          Horror              
GOLDM24H163 Bird Box                                          Horror              
GOLDM24H164 Carrie                                            Horror              
GOLDM24H165 Dracula                                           Horror              
GOLDM24H166 Frankenstein                                      Horror              
GOLDM24H167 Ghost Story                                       Horror              
GOLDM24H168 Heart-Shaped Box                                  Horror              
GOLDM24H169 Hell House                                        Horror              
GOLDM24H170 House of Leaves                                   Horror              
GOLDM24H171 It                                                Horror              
GOLDM24H172 Let the Right One In                              Horror              
GOLDM24H173 Mexican Gothic                                    Horror              
GOLDM24H174 NOS4A2                                            Horror              
GOLDM24H175 Pet Sematary                                      Horror              
GOLDM24H176 Salem's Lot                                       Horror              
GOLDM24H177 The Amityville Horror                             Horror              
GOLDM24H178 The Anomaly                                       Horror              
GOLDM24H179 The Cabin at the End of the World                 Horror              
GOLDM24H180 The Cabin in the Woods                            Horror              
GOLDM24H181 The Deep                                          Horror              
GOLDM24H182 The Exorcist                                      Horror              
GOLDM24H183 The Girl Next Door                                Horror              
GOLDM24H184 The Girl with All the Gifts                       Horror              
GOLDM24H185 The Haunting of Hill House                        Horror              
GOLDM24H186 The Hunger                                        Horror              
GOLDM24H187 The Last House on Needless Street                 Horror              
GOLDM24H188 The Mist                                          Horror              
GOLDM24H189 The Night Circus                                  Horror              
GOLDM24H190 The Only Good Indians                             Horror              
GOLDM24H191 The Ritual                                        Horror              
GOLDM24H192 The Ruins                                         Horror              
GOLDM24H193 The Shining                                       Horror              
GOLDM24H194 The Silence of the Lambs                          Horror              
GOLDM24H195 The Stand                                         Horror              
GOLDM24H196 The Troop                                         Horror              
GOLDM24H197 The Turn of the Screw                             Horror              
GOLDM24H198 The Winter People                                 Horror              
GOLDM24H199 The Witching Hour                                 Horror              
GOLDM24H200 World War Z                                       Horror              
